county,8336
airport,405
area,92
bay,8
beach,40
building,32
business,3
city,457
continent,144
desert,10
district,93
zone,223
region,216
state,491
gulf,1
hospital,12
aquarium,2
bridge,14
hotel,28
location,50
bank,1
island,95
municipality,11
neighborhood,24
ocean,45
parish,110
peninsula,8
province,77
restaurant,20
sea,26
theater,5
town,145
township,62
rock,4
street,34
plaza,5
resort,5
station,24
port,15
pub,1
borough,11
park,17
church,3
country,74
university,12
stadium,5
place,56
site,2
road,9
mountain,4
college,7
suburb,4
cabin,1
castle,7
enterprise,2
hill,2
shop,1
facility,5
landfill,1
house,15
office,4
sand,5
landmarks,4
apartment,4
beaches,1
islands,1
fort,10
arrondissement,1
facilities,2
land,11
spots,1
cemetery,4
tower,3
museum,9
settlement,1
caves,2
residence,2
clinic,3
quarries,1
cape,2
landmark,2
delta,4
winery,1
forest,7
school,2
police station,1
market,3
seaport,1
ward,2
habitat,5
valley,5
library,1
watershed,2
mountains,4
grassland,2
highway,2
quarry,1
camp,8
campground,1
gate,1
mall,2
farm,1
rivers,3
cabins,1
hometown,1
community,3
village,6
store,2
estate,2
factory,1
square,2
confluence,1
cave,3
ranch,2
peak,1
shire,1
river,6
field,2
elementary school,1
lake,6
ruins,3
ranches,1
banks,2
highland,1
summit,3
ford,2
playground,1
stores,1
home,3
railway,1
yard,1
locality,1
bar,2
spot,1
housing,1
zoo,1
islet,1
pier,1
monument,1
states,1
terrirtory,1
